# AutoGraphForge survivors, ranked by touch number
# NORMALISED: restatements collapsed.
# A conjecture and its algebraic rearrangement are one
# claim, not two: `b <= r + 1` and `b - 1 <= r` differ by
# moving a constant across the relation, `t <= 3d` and
# `(1/3)t <= d` by clearing a denominator. Both normalise
# to a single canonical body. They were reported twice
# because they are generated by different partitions --
# one is a bound on t, the other a bound on d -- so no
# single generator ever sees the pair.
# 82 restatement(s) removed here; each is listed
# in the trailing section with the form that was kept.
# 6522 survivors; 2677 carry a recomputed (hypothesis-aware) touch count.
# Format:  [touch] statement    -- verdict

## Ranked by touch (2595)

[   597] (((nontrivial) ∧ (cograph)) ∧ (connected)) ⇒ ((1/3) · double_roman_domination_number) ≤ radius    -- promising:class
[   591] (nontrivial) ⇒ chromatic_number ≤ (vertex_cover_number + 1)    -- promising:universal
[   589] ((nontrivial) ∧ (regular)) ⇒ annihilation_number ≤ edge_cover_number    -- promising:class
[   578] (((nontrivial) ∧ (claw_free)) ∧ (subcubic)) ⇒ maximum_degree ≤ clique_number    -- promising:class
[   577] (((nontrivial) ∧ (bipartite)) ∧ (subcubic)) ⇒ vertex_clique_cover_number ≤ independence_number    -- trivial:known
[   577] (((nontrivial) ∧ (cograph)) ∧ (connected)) ⇒ slater ≤ independent_domination_number    -- trivial:known
[   577] (((nontrivial) ∧ (cograph)) ∧ (connected)) ⇒ radius ≤ independent_domination_number    -- promising:class
[   575] ((nontrivial) ∧ (cograph)) ⇒ connected_zero_forcing_number ≤ total_zero_forcing_number    -- promising:class
[   568] ((nontrivial) ∧ (cograph)) ⇒ triameter ≤ 6    -- promising:class
[   560] ((nontrivial) ∧ (cograph)) ⇒ radius ≤ (roman_domination_number + -1)    -- trivial:subsumed
[   559] ((nontrivial) ∧ (eulerian)) ⇒ total_zero_forcing_number ≤ connected_zero_forcing_number    -- promising:class
[   555] (((nontrivial) ∧ (chordal)) ∧ (planar)) ⇒ radius ≤ ((2 · slater) + -1)    -- promising:class
[   548] ((nontrivial) ∧ (cograph)) ⇒ power_domination_number ≤ two_forcing_number    -- promising:class
[   548] (((nontrivial) ∧ (connected)) ∧ (subcubic)) ⇒ ((2 · two_forcing_number) + -1) ≤ minimum_degree    -- promising:class
[   545] (((nontrivial) ∧ (chordal)) ∧ (cograph)) ⇒ roman_domination_number ≤ total_domination_number    -- promising:class
[   545] (((nontrivial) ∧ (chordal)) ∧ (cograph)) ⇒ burning_number ≤ (((1/2) · total_domination_number) + 1)    -- promising:class
[   543] (((nontrivial) ∧ (connected)) ∧ (regular)) ⇒ annihilation_number ≤ harmonic_index    -- promising:class
[   541] ((nontrivial) ∧ (claw_free)) ⇒ independence_number ≤ annihilation_number    -- trivial:known
[   541] (((nontrivial) ∧ (claw_free)) ∧ (subcubic)) ⇒ maximum_degree ≤ chromatic_number    -- promising:class
[   540] (((nontrivial) ∧ (cograph)) ∧ (planar)) ⇒ power_domination_number ≤ two_forcing_number    -- trivial:subsumed
[   535] ((nontrivial) ∧ (eulerian)) ⇒ radius ≤ diameter    -- trivial:known
[   529] (((nontrivial) ∧ (K_4_free)) ∧ (cograph)) ⇒ power_domination_number ≤ two_forcing_number    -- trivial:subsumed
[   529] ((nontrivial) ∧ (regular)) ⇒ residue ≤ domination_number    -- promising:class
[   525] ((nontrivial) ∧ (triangle_free)) ⇒ zero_forcing_number ≤ connected_zero_forcing_number    -- trivial:known
[   524] ((nontrivial) ∧ (triangle_free)) ⇒ radius ≤ diameter    -- trivial:known
[   520] ((nontrivial) ∧ (regular)) ⇒ radius ≤ diameter    -- trivial:known
[   519] (((nontrivial) ∧ (claw_free)) ∧ (connected)) ⇒ ((2 · edge_cover_number) + -1) ≤ order    -- promising:class
[   519] (((nontrivial) ∧ (claw_free)) ∧ (connected)) ⇒ (((1/2) · order) + (-1/2)) ≤ matching_number    -- trivial:known
[   518] ((nontrivial) ∧ (claw_free)) ⇒ maximum_degree ≤ ((2 · chromatic_number) + -2)    -- promising:class
[   502] (((nontrivial) ∧ (chordal)) ∧ (cograph)) ⇒ roman_domination_number ≤ two_rainbow_domination_number    -- promising:class
[   500] (((nontrivial) ∧ (K_4_free)) ∧ (connected)) ⇒ ((1/2) · double_roman_domination_number) ≤ two_rainbow_domination_number    -- trivial:known
[   497] (((nontrivial) ∧ (cograph)) ∧ (planar)) ⇒ burning_number ≤ (power_domination_number + 1)    -- promising:class
[   493] (((nontrivial) ∧ (cograph)) ∧ (subcubic)) ⇒ chromatic_number = clique_number    -- trivial:known
[   489] ((nontrivial) ∧ (planar)) ⇒ maximum_degree ≤ (order + -1)    -- trivial:known
[   487] (((nontrivial) ∧ (connected)) ∧ (triangle_free)) ⇒ minimum_degree ≤ positive_semidefinite_zero_forcing_number    -- trivial:known
